ENTRADA / RADICADO,ÁREA RESPONSABLE,ASUNTO
13700-2025-0247,DIRECCIONES_GERENCIA,Seguimiento ICxP Liberadas con corte junio 2025
1330001-2025-0627,DIRECCIONES_GERENCIA,ENTREGA DE INFORMACIÓN ESTIMADOS AÑO 2025
1451001-2025-1690,DIRECCIONES_GERENCIA,SOLICITUD INVENTARIOS DOCUMENTALES ARCHIVOS DE GESTIÓN
1360001-2026-307,DBR,RESPUESTA MEMORANDO INTERNO 252001-2026-00463 – SOLICITUD GENERACIÓN DE RECIBO  PARA EL PAGO DE LA SANCIÓN CORRECCIÓN REDUCIDA.
E-2026-049234,DBR,COMUNICACION DE AUTO 2026-001372-5 EXP 027-2026
1190001-2026-0918,DBR,"ACTA DE LIQUIDACIÓN CONTRATO DE SUMINISTRO NO. 2-06-25200-1311-2025, AVISO SAP NO. 700068416 NO. ORDEN 8400082551"
1360001-2026-400,DBR,RESPUESTA MI 252001-2026-00580 A LA SOLICITUD RECIBO DE CAJA IMPUESTO DE TIMBRE Y  RECIBOS DE PAGO POR SANCIÓN E INTERESES.
1190001-2026-0731,DBR,ACTA DE LIQUIDACIÓN CONTRATO DE PRESTACIÓN DE SERVICIOS PERSONA NATURAL NO. 2-05-25200- 0694-2023 AVISO SAP NO. 700067945 Y NO. ORDEN 8400082244
E-2026-057229,DBR,2026EE8529 2026ER6918 RESPUESTA AL RADICADO IDIGER NO. 2026ER6918
1360001-2026-400,DBR,Respuesta MI 252001-2026-00580 a la solicitud recibo de caja impuesto de timbre y  recibos de pago por sanción e intereses.
1360001-2026-402,DBR,NUEVAS BASES DE RETENCIÓN COMPRAN DE BIENES Y SERVICIOS
2410001-2026-0484,DBR,INFORMACIÓN ADQUISICIÓN PREDIAL AOPP.
1530001-2026-0956,DBR,SOLICITUD INFORMACIÓN PROCESO RAD. 11001-33-35-028-2025-00020-00
E-2026-060711,DBR,ADJUNTO RESPUESTA A LA SOLICITUD
1360001-2026-278,DBR_DRT_DRM,CARTERA IMPUESTO DE TIMBRE AÑO 2026
1360001-2026-439,DRTA-DBR,CARTERA IMPUESTO DE TIMBRE AÑO 2026
1190001-2026-0873,DIRECCIONES_GERENCIA,ESTADO DE PLAN ANUAL DE CONTRATACIÓN Y COMPRAS VIGENCIA 2026
