"ENTRADA / RADICADO","ÁREA RESPONSABLE","ASUNTO"
"1471001- 2024-0362","TODAS LAS DIRECCIONES","Reiteración memorandos sobre concepto técnico de los activos fijos para proceso de depuración"
"13700-2025-0247","DIRECCIONES_GERENCIA","Seguimiento ICxP Liberadas con corte junio 2025"
"1330001-2025-0627","DIRECCIONES_GERENCIA","ENTREGA DE INFORMACIÓN ESTIMADOS AÑO 2025"
"1451001-2025-1690","DIRECCIONES_GERENCIA","SOLICITUD INVENTARIOS DOCUMENTALES ARCHIVOS DE GESTIÓN"
"1360001-2026-307","DBR","RESPUESTA MEMORANDO INTERNO 252001-2026-00463 – SOLICITUD GENERACIÓN DE RECIBO PARA EL PAGO DE LA SANCIÓN CORRECCIÓN REDUCIDA."
"1360001-2026-400","DBR","RESPUESTA MI 252001-2026-00580 A LA SOLICITUD RECIBO DE CAJA IMPUESTO DE TIMBRE Y RECIBOS DE PAGO POR SANCIÓN E INTERESES."
"1190001-2026-0731","DBR","ACTA DE LIQUIDACIÓN CONTRATO DE PRESTACIÓN DE SERVICIOS PERSONA NATURAL NO. 2-05-25200- 0694-2023 AVISO SAP NO. 700067945 Y NO. ORDEN 8400082244"
"E-2026-057229","DBR","2026EE8529 2026ER6918 RESPUESTA AL RADICADO IDIGER NO. 2026ER6918"
"1360001-2026-400","DBR","Respuesta MI 252001-2026-00580 a la solicitud recibo de caja impuesto de timbre y recibos de pago por sanción e intereses."
"1360001-2026-402","DBR","NUEVAS BASES DE RETENCIÓN COMPRAN DE BIENES Y SERVICIOS"
"1360001-2026-278","DIRECCIONES","CARTERA IMPUESTO DE TIMBRE AÑO 2026"
"1250001-2026-0135","DIRECCIONES_GERENCIA","SOCIALIZACIÓN DE INFORMES DE PLANES DE MEJORAMIENTO DEL SISTEMA ÚNICO DE GESTIÓN (SUG), GESTIÓN DE RIESGOS Y PLANIFICACIÓN DE CAMBIOS – PRIMER CUATRIMESTRE DE 2026"
"1360001-2026-439","DRTA-DBR","CARTERA IMPUESTO DE TIMBRE AÑO 2026"
